"","variable.rounded","freq","percentage"
"1",0,5314,23.5
"2",1,3510,15.5
"3",2,2589,11.4
"4",3,2216,9.8
"5",4,1990,8.8
"6",5,1600,7.1
"7",6,1399,6.2
"8",7,1105,4.9
"9",8,859,3.8
"10",9,671,3
"11",10,485,2.1
"12",11,387,1.7
"13",12,206,0.9
"14",13,126,0.6
"15",14,94,0.4
"16",15,50,0.2
"17",16,27,0.1
"18",17,15,0.1
"19",19,1,0
