"","variable.rounded","freq","percentage"
"1",0,1323,21.6
"2",1,1080,17.6
"3",2,1012,16.5
"4",3,790,12.9
"5",4,499,8.2
"6",5,410,6.7
"7",6,296,4.8
"8",7,231,3.8
"9",8,162,2.6
"10",9,116,1.9
"11",10,64,1
"12",11,56,0.9
"13",12,25,0.4
"14",13,24,0.4
"15",14,11,0.2
"16",15,8,0.1
"17",16,2,0
"18",17,4,0.1
"19",18,3,0
"20",20,1,0
"21",21,2,0
"22",22,1,0
