"","variable.rounded","freq","percentage"
"1",0,1191,19.5
"2",1,1003,16.4
"3",2,976,15.9
"4",3,743,12.1
"5",4,613,10
"6",5,505,8.3
"7",6,419,6.8
"8",7,267,4.4
"9",8,165,2.7
"10",9,96,1.6
"11",10,62,1
"12",11,30,0.5
"13",12,17,0.3
"14",13,13,0.2
"15",14,6,0.1
"16",15,4,0.1
"17",16,2,0
"18",18,2,0
"19",19,2,0
"20",20,3,0
"21",22,1,0
