"region","month_id","anomaly.t2m.monthly"
1,1,-4.10935294117647
1,2,-5.6713493339458
1,3,-1.83642228739003
1,4,-0.00934158926728587
1,5,-0.729032258064516
1,6,-1.02613333333333
1,7,0.14316129032258
1,8,-0.144806451612903
1,9,-1.19766666666667
1,10,-0.249741935483871
1,11,-5.47863333333333
1,12,-6.58206451612903
1,13,-0.240836812144213
1,14,-3.27849219108865
1,15,-0.330615835777126
1,16,2.40265841073271
1,17,0.0380645161290325
1,18,1.48386666666667
1,19,0.159612903225806
1,20,0.137129032258065
1,21,0.917
1,22,1.40735483870968
1,23,3.53336666666667
1,24,1.66470967741936
1,25,-0.178901328273245
1,26,-0.83606608271427
1,27,2.83873900293255
1,28,-1.63334158926729
1,29,-0.817096774193548
1,30,-1.19613333333333
1,31,-1.04264516129032
1,32,-0.709645161290322
1,33,-1.54866666666667
1,34,-1.49232258064516
1,35,1.10336666666667
1,36,-4.63496774193548
1,37,-0.530836812144213
1,38,-0.824563619660083
1,39,-4.63706744868035
1,40,-1.37934158926729
1,41,1.63548387096774
1,42,1.41253333333333
1,43,-0.128451612903226
1,44,0.284548387096775
1,45,0.269333333333334
1,46,0.178645161290323
1,47,0.104366666666667
1,48,2.38116129032258
1,49,-0.724062618595826
1,50,4.3261506660542
1,51,2.49196480938416
1,52,0.891658410732714
1,53,-0.496129032258064
1,54,-0.188466666666666
1,55,2.17154838709677
1,56,0.321645161290323
1,57,-0.293333333333333
1,58,1.30606451612903
1,59,1.0737
1,60,-0.198516129032258
1,61,0.9923889943074
1,62,2.52186495176849
1,63,2.62906158357771
1,64,0.580658410732714
1,65,-1.10645161290323
1,66,-1.52113333333333
1,67,-1.68941935483871
1,68,0.633903225806452
1,69,0.665666666666667
1,70,0.610903225806452
1,71,1.58103333333333
1,72,2.57825806451613
1,73,-2.63857874762808
1,74,1.01841667590642
1,75,1.87486803519062
1,76,0.156658410732714
1,77,0.863548387096774
1,78,0.420866666666667
1,79,-0.0665161290322588
1,80,-0.736096774193548
1,81,1.82766666666667
1,82,-0.171354838709677
1,83,-1.02296666666667
1,84,3.07567741935484
1,85,2.89464705882353
1,86,1.09829352319706
1,87,0.58099706744868
1,88,-1.42567492260062
1,89,-0.958064516129032
1,90,-0.199466666666667
1,91,-1.13361290322581
1,92,-0.64416129032258
1,93,0.375666666666667
1,94,0.613806451612903
1,95,-0.9063
1,96,-0.740774193548387
1,97,-0.0192239089184061
1,98,-2.47277790537437
1,99,-4.45513196480938
1,100,-0.340008255933952
1,101,2.40741935483871
1,102,0.275533333333333
1,103,1.9121935483871
1,104,0.106806451612904
1,105,-0.140666666666666
1,106,-0.236193548387097
1,107,2.5487
1,108,0.666322580645162
1,109,-0.164062618595825
1,110,1.55543638033992
1,111,-0.199648093841642
1,112,1.07865841073271
1,113,-0.837741935483871
1,114,0.538533333333333
1,115,-0.325870967741936
1,116,0.750677419354839
1,117,-0.875
1,118,-1.96716129032258
1,119,-2.53663333333333
1,120,1.7901935483871
1,121,4.58625996204934
1,122,2.46841667590642
1,123,1.04325513196481
1,124,-0.420761879122358
