"","variable.rounded","freq","percentage"
"1",0,4184,18.5
"2",1,3640,16.1
"3",2,3343,14.8
"4",3,2772,12.2
"5",4,2267,10
"6",5,1876,8.3
"7",6,1461,6.5
"8",7,1018,4.5
"9",8,717,3.2
"10",9,470,2.1
"11",10,287,1.3
"12",11,187,0.8
"13",12,132,0.6
"14",13,95,0.4
"15",14,52,0.2
"16",15,34,0.2
"17",16,35,0.2
"18",17,19,0.1
"19",18,21,0.1
"20",19,7,0
"21",20,11,0
"22",21,4,0
"23",22,7,0
"24",24,1,0
"25",26,1,0
"26",28,1,0
"27",29,2,0
