"","variable.rounded","freq","percentage"
"1",0,1398,22.8
"2",1,975,15.9
"3",2,740,12.1
"4",3,614,10
"5",4,556,9.1
"6",5,420,6.9
"7",6,364,5.9
"8",7,307,5
"9",8,225,3.7
"10",9,187,3.1
"11",10,120,2
"12",11,95,1.6
"13",12,58,0.9
"14",13,27,0.4
"15",14,16,0.3
"16",15,10,0.2
"17",16,6,0.1
"18",17,2,0
