"","variable.rounded","freq","percentage"
"1",0,7484,33.1
"2",1,888,3.9
"3",2,554,2.4
"4",3,471,2.1
"5",4,401,1.8
"6",5,383,1.7
"7",6,329,1.5
"8",7,295,1.3
"9",8,287,1.3
"10",9,280,1.2
"11",10,295,1.3
"12",11,256,1.1
"13",12,255,1.1
"14",13,269,1.2
"15",14,246,1.1
"16",15,275,1.2
"17",16,284,1.3
"18",17,291,1.3
"19",18,281,1.2
"20",19,303,1.3
"21",20,292,1.3
"22",21,303,1.3
"23",22,332,1.5
"24",23,324,1.4
"25",24,372,1.6
"26",25,381,1.7
"27",26,441,1.9
"28",27,442,2
"29",28,531,2.3
"30",29,719,3.2
"31",30,1083,4.8
"32",31,3297,14.6
