"","month","year","temp_mean","temp_max","temp_min"
"5",1,1984,13.5423387096774,20.9548387096774,7.4258064516129
"6",1,1985,11.9592741935484,18.0645161290323,7.17741935483871
"7",1,1986,15.5733870967742,23.6129032258065,9.43225806451613
"8",1,1987,12.0416182795699,19.4516129032258,6.56129032258065
"9",1,1988,12.0376129032258,19.0516129032258,7.08064516129032
"10",1,1989,11.7673387096774,19.0677419354839,6.32258064516129
"11",1,1990,12.3345430107527,19.5516129032258,6.85483870967742
"12",1,1991,12.6159946236559,19.1225806451613,7.68709677419355
"13",1,1992,13.048252688172,19.1806451612903,8.40645161290323
"14",1,1993,14.2081989247312,19.2064516129032,10.4935483870968
"15",1,1994,13.0102150537634,20.9258064516129,6.91290322580645
"16",1,1995,12.0977435500016,17.658064516129,7.93225806451613
"17",1,1996,13.14456869773,20.6290322580645,6.7741935483871
"18",1,1997,13.1302118043247,18.8096774193548,8.5
"19",1,1998,13.2095505008731,19.5838709677419,8.36451612903226
"20",1,1999,13.3829892473118,21.1064516129032,7.20967741935484
"21",1,2000,14.2062359552037,21.4096774193548,8.29677419354839
"22",1,2001,11.957369313185,18.2806451612903,7.32903225806452
"23",1,2002,13.1052109510463,20.041935483871,7.66451612903226
"24",1,2003,16.3125405359276,24.0322580645161,10.0903225806452
"25",1,2004,14.0110785116914,20.1612903225806,8.99354838709677
"26",1,2005,13.9731698478708,19.6709677419355,9.84516129032258
"27",1,2006,14.1181259600614,21.6870967741935,7.89354838709677
"28",1,2007,11.336465138701,18.4741935483871,6.26451612903226
"29",1,2008,12.5490723611387,18.4290322580645,7.61612903225806
"30",1,2009,14.8398741988453,21.5322580645161,8.80322580645161
"31",1,2010,13.8309954623303,19.858064516129,8.91935483870968
"32",1,2011,12.8408495329908,19.7258064516129,6.77096774193548
"33",1,2012,14.6733870967742,21.8161290322581,8.47741935483871
"34",1,2013,11.8100804566221,18.9129032258065,6.29677419354839
"35",1,2014,15.1680064857484,22.8548387096774,8.92258064516129
"36",1,2015,14.4594565273273,21.1451612903226,9.63225806451613
"37",1,2016,12.9631423802971,19.1129032258065,7.79354838709677
"38",1,2017,12.7298244962171,18.058064516129,8.49677419354839
"39",1,2018,16.0025707977599,23.6129032258065,9.85161290322581
"40",2,1980,15.508908045977,22.4551724137931,10.2413793103448
"41",2,1981,16.1505952380952,24.4428571428571,9.24642857142857
"42",2,1982,15.4465773809524,22.3714285714286,9.97142857142857
"43",2,1983,14.3114583333333,20.3928571428571,9.48571428571429
"44",2,1984,15.364364342554,23.4310344827586,8.18275862068966
"45",2,1985,13.5645833333333,20.7321428571429,7.79285714285714
"46",2,1986,15.6014880952381,22.3285714285714,10.3428571428571
"47",2,1987,14.9229395604396,21.1928571428571,9.78214285714286
"48",2,1988,16.4168103448276,24.0551724137931,10.3241379310345
"49",2,1989,16.1032738095238,23.3678571428571,9.98928571428571
"50",2,1990,13.1696428571429,20.6535714285714,7.81428571428571
"51",2,1991,18.5497023809524,25.9607142857143,12.2392857142857
"52",2,1992,16.3385057471264,22.4689655172414,11.5241379310345
"53",2,1993,14.2642857142857,19.6892857142857,10.0892857142857
"54",2,1994,13.9470238095238,20.7107142857143,8.61071428571429
"55",2,1995,17.1293218903941,23.9214285714286,11.3464285714286
"56",2,1996,16.7455647137246,23.2586206896552,11.4034482758621
"57",2,1997,14.4867083333333,21.3392857142857,8.49642857142857
"58",2,1998,12.0567391392317,17.5714285714286,7.91785714285714
"59",2,1999,15.5041666666667,23.2357142857143,9.15
"60",2,2000,16.0160317494194,23.148275862069,10.2172413793103
"61",2,2001,13.5621682162938,20.1714285714286,8.225
"62",2,2002,16.2866572184429,24.0607142857143,9.30714285714286
"63",2,2003,14.9687249549392,20.4678571428571,10.5178571428571
"64",2,2004,13.1875387702974,19.4896551724138,7.87931034482759
"65",2,2005,14.7779936671839,19.3964285714286,11.0142857142857
"66",2,2006,16.4819538926682,23.8321428571429,9.8
"67",2,2007,15.2949841926172,22.325,9.68928571428571
"68",2,2008,14.0735648003549,20.648275862069,9.03793103448276
"69",2,2009,15.6425515863924,22.6928571428571,9.8
"70",2,2010,14.8190424175667,20.825,10.1392857142857
"71",2,2011,12.7949352071196,20,6.69642857142857
"72",2,2012,15.6637676235774,22.5896551724138,9.38275862068966
"73",2,2013,13.8387451066819,20.6964285714286,8.35714285714286
"74",2,2014,17.9159202569917,24.6214285714286,11.6714285714286
"75",2,2015,18.4649842460495,25.2535714285714,12.5607142857143
"76",2,2016,18.8318760262726,27.0344827586207,11.6310344827586
"77",2,2017,16.5365732578776,22.6071428571429,11.475
"78",2,2018,15.4515569319627,21.9535714285714,9.72142857142857
"79",3,1980,16.026747311828,23.0161290322581,10.3258064516129
"80",3,1981,17.6821666666667,24.6290322580645,11.5516129032258
"81",3,1982,17.1024193548387,23.4967741935484,11.5451612903226
"82",3,1983,16.571752688172,22.8612903225806,11.4451612903226
"83",3,1984,19.9393817204301,27.8258064516129,12.2612903225806
"84",3,1985,17.0443064516129,24.3161290322581,11.2354838709677
"85",3,1986,20.5118279569892,27.6774193548387,14.2612903225806
"86",3,1987,17.2775537634409,24.3032258064516,10.8935483870968
"87",3,1988,19.1509408602151,27.1387096774194,11.7516129032258
"88",3,1989,21.1176075268817,29.0741935483871,14.1612903225806
"89",3,1990,19.2036290322581,26.1709677419355,13.2967741935484
"90",3,1991,15.4547043010753,22.2387096774194,10.1290322580645
"91",3,1992,17.6532258064516,24.2483870967742,12.6354838709677
"92",3,1993,18.4295698924731,25.4096774193548,12.3870967741935
"93",3,1994,18.1409363284308,25.3612903225806,12.2709677419355
"94",3,1995,18.0863356772075,24.6322580645161,11.941935483871
"95",3,1996,18.481177334016,25.5483870967742,11.8935483870968
"96",3,1997,20.8235091164095,28.5129032258065,13.5806451612903
"97",3,1998,16.5708639699607,23.2193548387097,10.8935483870968
"98",3,1999,18.4853978494624,26.1548387096774,11.9354838709677
"99",3,2000,17.3805696173688,24.0387096774194,11.7387096774194
"100",3,2001,18.5308673724413,25.3967741935484,12.3096774193548
"101",3,2002,18.4388766766131,26.0258064516129,11.458064516129
