date,week_id,week_of_year,month_of_year
2010-01-02,1,1,1
2010-01-03,1,1,1
2010-01-04,1,1,1
2010-01-05,1,1,1
2010-01-06,1,1,1
2010-01-07,1,1,1
2010-01-08,1,1,1
2010-01-09,2,2,1
2010-01-10,2,2,1
2010-01-11,2,2,1
2010-01-12,2,2,1
2010-01-13,2,2,1
2010-01-14,2,2,1
2010-01-15,2,2,1
2010-01-16,3,3,1
2010-01-17,3,3,1
2010-01-18,3,3,1
2010-01-19,3,3,1
2010-01-20,3,3,1
2010-01-21,3,3,1
2010-01-22,3,3,1
2010-01-23,4,4,1
2010-01-24,4,4,1
2010-01-25,4,4,1
2010-01-26,4,4,1
2010-01-27,4,4,1
2010-01-28,4,4,1
2010-01-29,4,4,1
2010-01-30,5,5,2
2010-01-31,5,5,2
2010-02-01,5,5,2
2010-02-02,5,5,2
2010-02-03,5,5,2
2010-02-04,5,5,2
2010-02-05,5,5,2
2010-02-06,6,6,2
2010-02-07,6,6,2
2010-02-08,6,6,2
2010-02-09,6,6,2
2010-02-10,6,6,2
2010-02-11,6,6,2
2010-02-12,6,6,2
2010-02-13,7,7,2
2010-02-14,7,7,2
2010-02-15,7,7,2
2010-02-16,7,7,2
2010-02-17,7,7,2
2010-02-18,7,7,2
2010-02-19,7,7,2
2010-02-20,8,8,2
2010-02-21,8,8,2
2010-02-22,8,8,2
2010-02-23,8,8,2
2010-02-24,8,8,2
2010-02-25,8,8,2
2010-02-26,8,8,2
2010-02-27,9,9,3
2010-02-28,9,9,3
2010-03-01,9,9,3
2010-03-02,9,9,3
2010-03-03,9,9,3
2010-03-04,9,9,3
2010-03-05,9,9,3
2010-03-06,10,10,3
2010-03-07,10,10,3
2010-03-08,10,10,3
2010-03-09,10,10,3
2010-03-10,10,10,3
2010-03-11,10,10,3
2010-03-12,10,10,3
2010-03-13,11,11,3
2010-03-14,11,11,3
2010-03-15,11,11,3
2010-03-16,11,11,3
2010-03-17,11,11,3
2010-03-18,11,11,3
2010-03-19,11,11,3
2010-03-20,12,12,3
2010-03-21,12,12,3
2010-03-22,12,12,3
2010-03-23,12,12,3
2010-03-24,12,12,3
2010-03-25,12,12,3
2010-03-26,12,12,3
2010-03-27,13,13,3
2010-03-28,13,13,3
2010-03-29,13,13,3
2010-03-30,13,13,3
2010-03-31,13,13,3
2010-04-01,13,13,3
2010-04-02,13,13,3
2010-04-03,14,14,4
2010-04-04,14,14,4
2010-04-05,14,14,4
2010-04-06,14,14,4
2010-04-07,14,14,4
2010-04-08,14,14,4
2010-04-09,14,14,4
2010-04-10,15,15,4
2010-04-11,15,15,4
2010-04-12,15,15,4
2010-04-13,15,15,4
2010-04-14,15,15,4
2010-04-15,15,15,4
2010-04-16,15,15,4
2010-04-17,16,16,4
2010-04-18,16,16,4
2010-04-19,16,16,4
2010-04-20,16,16,4
2010-04-21,16,16,4
2010-04-22,16,16,4
2010-04-23,16,16,4
2010-04-24,17,17,4
2010-04-25,17,17,4
2010-04-26,17,17,4
2010-04-27,17,17,4
2010-04-28,17,17,4
2010-04-29,17,17,4
2010-04-30,17,17,4
2010-05-01,18,18,5
2010-05-02,18,18,5
2010-05-03,18,18,5
2010-05-04,18,18,5
2010-05-05,18,18,5
2010-05-06,18,18,5
2010-05-07,18,18,5
2010-05-08,19,19,5
2010-05-09,19,19,5
2010-05-10,19,19,5
2010-05-11,19,19,5
2010-05-12,19,19,5
2010-05-13,19,19,5
2010-05-14,19,19,5
2010-05-15,20,20,5
2010-05-16,20,20,5
2010-05-17,20,20,5
2010-05-18,20,20,5
2010-05-19,20,20,5
2010-05-20,20,20,5
2010-05-21,20,20,5
2010-05-22,21,21,5
2010-05-23,21,21,5
2010-05-24,21,21,5
2010-05-25,21,21,5
2010-05-26,21,21,5
2010-05-27,21,21,5
2010-05-28,21,21,5
2010-05-29,22,22,6
2010-05-30,22,22,6
2010-05-31,22,22,6
2010-06-01,22,22,6
2010-06-02,22,22,6
2010-06-03,22,22,6
2010-06-04,22,22,6
2010-06-05,23,23,6
2010-06-06,23,23,6
