"","variable.rounded","freq","percentage"
"1",-8,1,0
"2",-7,5,0.1
"3",-6,14,0.2
"4",-5,25,0.4
"5",-4,67,1.1
"6",-3,158,2.6
"7",-2,430,7
"8",-1,1190,19.4
"9",0,1687,27.6
"10",1,1357,22.2
"11",2,731,11.9
"12",3,300,4.9
"13",4,115,1.9
"14",5,22,0.4
"15",6,12,0.2
"16",7,5,0.1
"17",9,1,0
