"","variable.rounded","freq","percentage"
"1",-10,3,0
"2",-9,10,0
"3",-8,20,0.1
"4",-7,43,0.2
"5",-6,88,0.4
"6",-5,139,0.6
"7",-4,317,1.4
"8",-3,848,3.7
"9",-2,2074,9.2
"10",-1,4374,19.3
"11",0,6008,26.5
"12",1,4554,20.1
"13",2,2605,11.5
"14",3,1044,4.6
"15",4,352,1.6
"16",5,86,0.4
"17",6,48,0.2
"18",7,22,0.1
"19",8,6,0
"20",9,3,0
