"lad","month_id","anomaly.t2m.monthly"
"E06000001",1,-2.3033137829912
"E06000001",2,-1.88724276527331
"E06000001",3,-0.170058651026393
"E06000001",4,-0.239616099071208
"E06000001",5,-0.832677419354839
"E06000001",6,0.459533333333334
"E06000001",7,0.431870967741935
"E06000001",8,-0.974322580645161
"E06000001",9,0.1623
"E06000001",10,-0.488258064516129
"E06000001",11,-1.44496666666667
"E06000001",12,-4.79745161290323
"E06000001",13,-0.973636363636363
"E06000001",14,0.917400091869545
"E06000001",15,-0.317800586510264
"E06000001",16,1.82005056759546
"E06000001",17,0.765709677419355
"E06000001",18,-0.398466666666666
"E06000001",19,-1.47522580645161
"E06000001",20,-0.591741935483871
"E06000001",21,0.6573
"E06000001",22,0.608838709677419
"E06000001",23,2.02736666666667
"E06000001",24,0.260290322580645
"E06000001",25,0.383782991202346
"E06000001",26,0.030257234726688
"E06000001",27,1.38897360703812
"E06000001",28,-0.876282765737874
"E06000001",29,-1.05816129032258
"E06000001",30,-0.710133333333333
"E06000001",31,-1.03877419354839
"E06000001",32,0.0356774193548389
"E06000001",33,-0.6737
"E06000001",34,-2.26567741935484
"E06000001",35,-0.776633333333333
"E06000001",36,-0.845193548387097
"E06000001",37,-0.511700879765396
"E06000001",38,-1.46581419384474
"E06000001",39,-2.66844574780059
"E06000001",40,-1.32761609907121
"E06000001",41,-0.833645161290323
"E06000001",42,-0.568466666666666
"E06000001",43,1.04251612903226
"E06000001",44,0.667612903225807
"E06000001",45,-0.4707
"E06000001",46,1.20496774193548
"E06000001",47,-1.09096666666667
"E06000001",48,1.159
"E06000001",49,0.726041055718475
"E06000001",50,1.28382866329812
"E06000001",51,0.740263929618768
"E06000001",52,0.972383900928792
"E06000001",53,1.0928064516129
"E06000001",54,0.689533333333334
"E06000001",55,0.359612903225806
"E06000001",56,-0.838838709677419
"E06000001",57,0.203633333333333
"E06000001",58,1.17045161290323
"E06000001",59,1.30203333333333
"E06000001",60,-0.067451612903226
"E06000001",61,0.0528152492668624
"E06000001",62,-0.757957050987598
"E06000001",63,-0.074574780058651
"E06000001",64,0.0477172342621259
"E06000001",65,-0.575580645161291
"E06000001",66,-1.04113333333333
"E06000001",67,-1.05361290322581
"E06000001",68,0.240838709677419
"E06000001",69,-1.2007
"E06000001",70,-0.257290322580646
"E06000001",71,1.32303333333333
"E06000001",72,2.8231935483871
"E06000001",73,0.717976539589443
"E06000001",74,-0.462846213549174
"E06000001",75,-0.325219941348974
"E06000001",76,-1.30628276573787
"E06000001",77,0.0176451612903223
"E06000001",78,-0.193466666666666
"E06000001",79,0.255096774193548
"E06000001",80,0.392129032258065
"E06000001",81,1.9913
"E06000001",82,0.0191612903225799
"E06000001",83,-1.5203
"E06000001",84,1.3948064516129
"E06000001",85,0.0850733137829914
"E06000001",86,1.57882866329812
"E06000001",87,1.44026392961877
"E06000001",88,0.198717234262126
"E06000001",89,1.10538709677419
"E06000001",90,1.38786666666667
"E06000001",91,-0.592967741935484
"E06000001",92,-0.370129032258064
"E06000001",93,-0.277366666666667
"E06000001",94,1.39593548387097
"E06000001",95,-0.337966666666667
"E06000001",96,-0.759709677419355
"E06000001",97,0.157976539589443
"E06000001",98,-1.81259990813045
"E06000001",99,-1.40941348973607
"E06000001",100,0.593050567595459
"E06000001",101,0.640548387096774
"E06000001",102,0.470866666666667
"E06000001",103,1.17283870967742
"E06000001",104,0.491483870967742
"E06000001",105,-0.361366666666667
"E06000001",106,-0.228903225806452
"E06000001",107,0.8837
"E06000001",108,0.477064516129032
"E06000001",109,-0.166217008797654
"E06000001",110,1.55811437758383
"E06000001",111,1.02994134897361
"E06000001",112,-0.360949432404541
"E06000001",113,-0.322032258064516
"E06000001",114,-0.0961333333333328
"E06000001",115,0.898645161290322
"E06000001",116,0.947290322580645
"E06000001",117,-0.0306999999999998
"E06000001",118,-1.15922580645161
"E06000001",119,-0.3653
"E06000001",120,0.355451612903226
"E06000001",121,1.83120234604106
"E06000001",122,0.99784344162324
"E06000001",123,0.366070381231672
"E06000001",124,0.624557813972271
"E06000002",1,-2.28158357771261
"E06000002",2,-1.99720372071658
"E06000002",3,-0.180879765395895
"E06000002",4,-0.407898864809081
"E06000002",5,-0.941483870967742
"E06000002",6,0.4213
"E06000002",7,0.440354838709678
"E06000002",8,-0.919354838709678
"E06000002",9,0.194233333333333
"E06000002",10,-0.53374193548387
"E06000002",11,-1.47656666666667
"E06000002",12,-5.28751612903226
"E06000002",13,-1.058357771261
"E06000002",14,1.1160105649977
"E06000002",15,-0.234105571847508
"E06000002",16,1.87676780185759
"E06000002",17,0.802709677419355
"E06000002",18,-0.524366666666667
"E06000002",19,-1.55061290322581
"E06000002",20,-0.718709677419355
"E06000002",21,0.6959
"E06000002",22,0.669483870967742
"E06000002",23,2.1201
"E06000002",24,0.320225806451613
"E06000002",25,0.360674486803519
"E06000002",26,-0.0393835236722477
"E06000002",27,1.34815249266862
"E06000002",28,-0.969898864809081
"E06000002",29,-0.986322580645161
"E06000002",30,-0.7457
"E06000002",31,-0.950290322580645
"E06000002",32,-0.027096774193549
"E06000002",33,-0.727766666666667
"E06000002",34,-2.21729032258064
"E06000002",35,-0.758233333333333
"E06000002",36,-0.774612903225806
"E06000002",37,-0.566422287390029
"E06000002",38,-1.61006086357373
"E06000002",39,-2.80958944281525
"E06000002",40,-1.27523219814241
"E06000002",41,-0.810516129032258
"E06000002",42,-0.5517
"E06000002",43,1.01164516129032
"E06000002",44,0.655483870967741
"E06000002",45,-0.512766666666667
"E06000002",46,1.34432258064516
