"","variable.rounded","freq","percentage"
"1",-20,1,0
"2",-19,2,0
"3",-18,2,0
"4",-17,2,0
"5",-16,4,0.1
"6",-15,8,0.1
"7",-14,12,0.2
"8",-13,11,0.2
"9",-12,12,0.2
"10",-11,15,0.2
"11",-10,12,0.2
"12",-9,28,0.5
"13",-8,36,0.6
"14",-7,37,0.6
"15",-6,50,0.8
"16",-5,57,0.9
"17",-4,74,1.2
"18",-3,111,1.8
"19",-2,125,2
"20",-1,131,2.1
"21",0,122,2
"22",1,167,2.7
"23",2,180,2.9
"24",3,169,2.8
"25",4,179,2.9
"26",5,197,3.2
"27",6,169,2.8
"28",7,211,3.4
"29",8,195,3.2
"30",9,208,3.4
"31",10,206,3.4
"32",11,176,2.9
"33",12,194,3.2
"34",13,176,2.9
"35",14,203,3.3
"36",15,165,2.7
"37",16,195,3.2
"38",17,203,3.3
"39",18,188,3.1
"40",19,205,3.3
"41",20,262,4.3
"42",21,240,3.9
"43",22,246,4
"44",23,217,3.5
"45",24,185,3
"46",25,161,2.6
"47",26,173,2.8
"48",27,108,1.8
"49",28,51,0.8
"50",29,23,0.4
"51",30,11,0.2
"52",31,5,0.1
