"","variable.rounded","freq","percentage"
"1",-9,1,0
"2",-8,4,0.1
"3",-7,19,0.3
"4",-6,48,0.8
"5",-5,120,2
"6",-4,197,3.2
"7",-3,382,6.2
"8",-2,797,13
"9",-1,1275,20.8
"10",0,1420,23.2
"11",1,1049,17.1
"12",2,526,8.6
"13",3,174,2.8
"14",4,80,1.3
"15",5,25,0.4
"16",6,3,0
