"","month","cor.max.mean","cor.max.min","cor.max.max"
"1",1,0.978320646382767,0.882628743472816,0.996879796786794
"2",2,0.975346388902184,0.917532871544562,0.992362257257898
"3",3,0.9710462156202,0.92717474901535,0.987973281520184
"4",4,0.968419120119294,0.931940789431878,0.992751646494127
"5",5,0.961211112866408,0.883971158506781,0.989900555732813
"6",6,0.95475675338738,0.894082679612279,0.989018384722385
"7",7,0.969181765280771,0.923269530651274,0.989602800922151
"8",8,0.963064145651649,0.913110694566649,0.989139796482601
"9",9,0.930959902340162,0.831758012103998,0.988324381562792
"10",10,0.911189385498676,0.745092601240458,0.97772955079495
"11",11,0.962458695135901,0.901577711072858,0.994447141413898
"12",12,0.974032331151459,0.792982383204672,0.994654216475386
