"","variable.rounded","freq","percentage"
"1",0,5742,93.8
"2",1,154,2.5
"3",2,71,1.2
"4",3,34,0.6
"5",4,19,0.3
"6",5,10,0.2
"7",6,23,0.4
"8",7,10,0.2
"9",8,7,0.1
"10",9,8,0.1
"11",10,5,0.1
"12",11,9,0.1
"13",12,3,0
"14",13,3,0
"15",14,4,0.1
"16",15,4,0.1
"17",16,3,0
"18",17,3,0
"19",18,1,0
"20",19,1,0
"21",20,2,0
"22",21,1,0
"23",23,1,0
"24",24,1,0
"25",25,1,0
