"region","month_id","anomaly.t2m.monthly"
1,1,-4.63154901960784
1,2,-3.8121531924667
1,3,-0.98850439882698
1,4,-0.389540763673891
1,5,-1.91296774193548
1,6,-1.11343333333333
1,7,1.3081935483871
1,8,-0.211806451612903
1,9,-1.19403333333333
1,10,-1.36896774193548
1,11,-2.57353333333333
1,12,-7.11629032258065
1,13,-1.2447210626186
1,14,-1.17251033532384
1,15,-0.887214076246334
1,16,1.86945923632611
1,17,-0.290387096774193
1,18,0.162233333333333
1,19,-0.272451612903226
1,20,-0.173741935483871
1,21,0.208633333333334
1,22,-0.300258064516128
1,23,1.0068
1,24,0.932741935483871
1,25,0.874633776091082
1,26,-2.34824925158
1,27,1.96988269794721
1,28,-0.846874097007224
1,29,0.281225806451613
1,30,-1.5181
1,31,-0.840516129032259
1,32,-0.175354838709678
1,33,-0.586033333333333
1,34,-1.20348387096774
1,35,0.3238
1,36,-3.12338709677419
1,37,-1.35020493358634
1,38,-1.87608176389527
1,39,-4.49269794721408
1,40,-1.85720743034056
1,41,0.293483870967742
1,42,-0.378766666666667
1,43,-0.378580645161291
1,44,0.0585161290322581
1,45,-0.752033333333333
1,46,0.885870967741936
1,47,-0.209533333333334
1,48,1.755
1,49,0.428182163187856
1,50,2.64927537896187
1,51,1.99891495601173
1,52,1.35779256965944
1,53,0.301870967741936
1,54,-0.215100000000001
1,55,1.83077419354839
1,56,-0.531483870967742
1,57,0.485300000000001
1,58,2.03103225806452
1,59,1.76246666666667
1,60,-0.0479032258064515
1,61,1.46850474383302
1,62,0.680346807533303
1,63,1.17923753665689
1,64,-0.325540763673891
1,65,-1.33232258064516
1,66,-1.6231
1,67,-1.13116129032258
1,68,0.386903225806452
1,69,-0.506033333333333
1,70,-0.493806451612903
1,71,1.5918
1,72,3.33758064516129
1,73,-1.02601138519924
1,74,0.916923162213106
1,75,0.171818181818182
1,76,-0.563207430340558
1,77,0.97283870967742
1,78,1.27556666666667
1,79,-0.141806451612904
1,80,-0.543096774193549
1,81,1.94063333333333
1,82,-0.864129032258064
1,83,-1.6782
1,84,1.57403225806452
1,85,-0.168592030360531
1,86,0.60998966467616
1,87,1.08923753665689
1,88,-0.326207430340557
1,89,0.546064516129033
1,90,0.666899999999999
1,91,-1.35890322580645
1,92,-0.579225806451613
1,93,-0.283366666666666
1,94,1.5378064516129
1,95,-0.260866666666667
1,96,0.454677419354839
1,97,1.0894724857685
1,98,-1.80322462103813
1,99,-2.88495601173021
1,100,1.15212590299278
1,101,2.32122580645161
1,102,1.3659
1,103,1.10561290322581
1,104,1.12496774193548
1,105,0.555966666666667
1,106,0.273612903225807
1,107,-0.0722000000000003
1,108,0.984677419354839
1,109,0.514633776091082
1,110,2.67177537896187
1,111,2.07407624633431
1,112,0.184792569659443
1,113,-1.18103225806452
1,114,1.3779
1,115,-0.121161290322581
1,116,0.644322580645161
1,117,0.130966666666667
1,118,-0.497677419354838
1,119,0.109466666666666
1,120,1.24887096774194
1,121,3.89624667931689
1,122,3.41313005876483
1,123,0.770205278592375
1,124,-0.333381343384036
