"","variable.rounded","freq","percentage"
"1",-13,1,0
"2",-11,2,0
"3",-10,7,0
"4",-9,15,0.1
"5",-8,41,0.2
"6",-7,78,0.3
"7",-6,172,0.8
"8",-5,399,1.8
"9",-4,881,3.9
"10",-3,1657,7.3
"11",-2,3318,14.7
"12",-1,4865,21.5
"13",0,5008,22.1
"14",1,3470,15.3
"15",2,1736,7.7
"16",3,602,2.7
"17",4,223,1
"18",5,100,0.4
"19",6,38,0.2
"20",7,20,0.1
"21",8,6,0
"22",9,4,0
"23",10,1,0
