"","variable.rounded","freq","percentage"
"1",-22,2,0
"2",-21,1,0
"3",-20,4,0
"4",-19,2,0
"5",-18,10,0
"6",-17,11,0
"7",-16,14,0.1
"8",-15,32,0.1
"9",-14,36,0.2
"10",-13,37,0.2
"11",-12,56,0.2
"12",-11,68,0.3
"13",-10,66,0.3
"14",-9,112,0.5
"15",-8,131,0.6
"16",-7,193,0.9
"17",-6,215,0.9
"18",-5,268,1.2
"19",-4,315,1.4
"20",-3,399,1.8
"21",-2,430,1.9
"22",-1,525,2.3
"23",0,492,2.2
"24",1,575,2.5
"25",2,612,2.7
"26",3,600,2.6
"27",4,612,2.7
"28",5,654,2.9
"29",6,639,2.8
"30",7,731,3.2
"31",8,722,3.2
"32",9,697,3.1
"33",10,743,3.3
"34",11,715,3.2
"35",12,678,3
"36",13,638,2.8
"37",14,698,3.1
"38",15,663,2.9
"39",16,702,3.1
"40",17,715,3.2
"41",18,719,3.2
"42",19,798,3.5
"43",20,850,3.8
"44",21,900,4
"45",22,885,3.9
"46",23,823,3.6
"47",24,744,3.3
"48",25,677,3
"49",26,622,2.7
"50",27,409,1.8
"51",28,221,1
"52",29,102,0.5
"53",30,57,0.3
"54",31,18,0.1
"55",32,6,0
