"","variable.rounded","freq","percentage"
"1",0,1986,32.5
"2",1,260,4.2
"3",2,160,2.6
"4",3,127,2.1
"5",4,110,1.8
"6",5,97,1.6
"7",6,90,1.5
"8",7,77,1.3
"9",8,80,1.3
"10",9,68,1.1
"11",10,72,1.2
"12",11,79,1.3
"13",12,70,1.1
"14",13,64,1
"15",14,60,1
"16",15,71,1.2
"17",16,69,1.1
"18",17,91,1.5
"19",18,82,1.3
"20",19,91,1.5
"21",20,81,1.3
"22",21,82,1.3
"23",22,88,1.4
"24",23,84,1.4
"25",24,96,1.6
"26",25,115,1.9
"27",26,135,2.2
"28",27,134,2.2
"29",28,157,2.6
"30",29,169,2.8
"31",30,346,5.7
"32",31,829,13.5
