"","variable.rounded","freq","percentage"
"1",-10,3,0
"2",-9,7,0.1
"3",-8,11,0.2
"4",-7,19,0.3
"5",-6,21,0.3
"6",-5,51,0.8
"7",-4,106,1.7
"8",-3,310,5.1
"9",-2,708,11.6
"10",-1,1317,21.5
"11",0,1661,27.1
"12",1,1138,18.6
"13",2,475,7.8
"14",3,190,3.1
"15",4,78,1.3
"16",5,20,0.3
"17",6,3,0
"18",7,1,0
"19",9,1,0
