"","variable.rounded","freq","percentage"
"1",-8,1,0
"2",-7,2,0
"3",-6,10,0.2
"4",-5,26,0.4
"5",-4,77,1.3
"6",-3,223,3.6
"7",-2,635,10.4
"8",-1,1197,19.6
"9",0,1669,27.3
"10",1,1186,19.4
"11",2,732,12
"12",3,233,3.8
"13",4,103,1.7
"14",5,18,0.3
"15",6,6,0.1
"16",7,2,0
