"","variable.rounded","freq","percentage"
"1",-22,1,0
"2",-21,1,0
"3",-20,2,0
"4",-18,2,0
"5",-17,2,0
"6",-16,4,0.1
"7",-15,9,0.1
"8",-14,6,0.1
"9",-13,13,0.2
"10",-12,21,0.3
"11",-11,14,0.2
"12",-10,26,0.4
"13",-9,29,0.5
"14",-8,41,0.7
"15",-7,68,1.1
"16",-6,64,1
"17",-5,89,1.5
"18",-4,89,1.5
"19",-3,103,1.7
"20",-2,125,2
"21",-1,150,2.5
"22",0,142,2.3
"23",1,172,2.8
"24",2,152,2.5
"25",3,157,2.6
"26",4,158,2.6
"27",5,162,2.6
"28",6,173,2.8
"29",7,205,3.3
"30",8,208,3.4
"31",9,185,3
"32",10,188,3.1
"33",11,208,3.4
"34",12,160,2.6
"35",13,182,3
"36",14,175,2.9
"37",15,192,3.1
"38",16,196,3.2
"39",17,201,3.3
"40",18,190,3.1
"41",19,205,3.3
"42",20,227,3.7
"43",21,225,3.7
"44",22,228,3.7
"45",23,233,3.8
"46",24,183,3
"47",25,191,3.1
"48",26,164,2.7
"49",27,108,1.8
"50",28,55,0.9
"51",29,23,0.4
"52",30,9,0.1
"53",31,3,0
"54",32,1,0
