"","date","ID_1","t2m"
"174","2015-02-13",2,5.58
"175","2015-02-13",3,4.18
"176","2015-02-13",4,3.87
"177","2015-02-14",1,5.24
"178","2015-02-14",2,5.63
"179","2015-02-14",3,2.75
"180","2015-02-14",4,4.47
"181","2015-02-15",1,5.31
"182","2015-02-15",2,5.19
"183","2015-02-15",3,4.98
"184","2015-02-15",4,4.47
"185","2015-02-16",1,3.98
"186","2015-02-16",2,6.16
"187","2015-02-16",3,5.23
"188","2015-02-16",4,5.04
"189","2015-02-17",1,3.04
"190","2015-02-17",2,1.51
"191","2015-02-17",3,1.94
"192","2015-02-17",4,2.56
"193","2015-02-18",1,3.16
"194","2015-02-18",2,7.69
"195","2015-02-18",3,7.11
"196","2015-02-18",4,5.16
"197","2015-02-19",1,5.89
"198","2015-02-19",2,9.44
"199","2015-02-19",3,8.18
"200","2015-02-19",4,6.54
"201","2015-02-20",1,5.17
"202","2015-02-20",2,2.95
"203","2015-02-20",3,2.96
"204","2015-02-20",4,3.93
"205","2015-02-21",1,2.39
"206","2015-02-21",2,2.06
"207","2015-02-21",3,1.23
"208","2015-02-21",4,2.75
"209","2015-02-22",1,1.16
"210","2015-02-22",2,2.16
"211","2015-02-22",3,0.65
"212","2015-02-22",4,1.66
"213","2015-02-23",1,6.17
"214","2015-02-23",2,2.11
"215","2015-02-23",3,1.75
"216","2015-02-23",4,4.75
"217","2015-02-24",1,4.59
"218","2015-02-24",2,4.16
"219","2015-02-24",3,3.43
"220","2015-02-24",4,4.74
"221","2015-02-25",1,4.38
"222","2015-02-25",2,4.86
"223","2015-02-25",3,2.08
"224","2015-02-25",4,5.9
"225","2015-02-26",1,8.75
"226","2015-02-26",2,10.64
"227","2015-02-26",3,8.61
"228","2015-02-26",4,8.83
"229","2015-02-27",1,2.33
"230","2015-02-27",2,2.12
"231","2015-02-27",3,2.23
"232","2015-02-27",4,2.59
"233","2015-02-28",1,4.93
"234","2015-02-28",2,7.09
"235","2015-02-28",3,5.6
"236","2015-02-28",4,5.84
"237","2015-03-01",1,9.01
"238","2015-03-01",2,5.44
"239","2015-03-01",3,5.18
"240","2015-03-01",4,7.52
"241","2015-03-02",1,3.24
"242","2015-03-02",2,1.72
"243","2015-03-02",3,2.12
"244","2015-03-02",4,3.32
"245","2015-03-03",1,2.66
"246","2015-03-03",2,0.82
"247","2015-03-03",3,0.54
"248","2015-03-03",4,2.85
"249","2015-03-04",1,3.49
"250","2015-03-04",2,3.23
"251","2015-03-04",3,2.94
"252","2015-03-04",4,3.53
"253","2015-03-05",1,2.68
"254","2015-03-05",2,6.2
"255","2015-03-05",3,5.62
"256","2015-03-05",4,3
"257","2015-03-06",1,6.55
"258","2015-03-06",2,8.51
"259","2015-03-06",3,6.31
"260","2015-03-06",4,6.97
"261","2015-03-07",1,7.04
"262","2015-03-07",2,9.47
"263","2015-03-07",3,8.12
"264","2015-03-07",4,7.71
"265","2015-03-08",1,7.28
"266","2015-03-08",2,10.42
"267","2015-03-08",3,8.86
"268","2015-03-08",4,7.56
"269","2015-03-09",1,2.28
"270","2015-03-09",2,2.28
"271","2015-03-09",3,2.54
"272","2015-03-09",4,0.62
"273","2015-03-10",1,7.01
"274","2015-03-10",2,5.27
"275","2015-03-10",3,5.66
"276","2015-03-10",4,5.27
"277","2015-03-11",1,2.38
"278","2015-03-11",2,4.58
"279","2015-03-11",3,1.52
"280","2015-03-11",4,3.39
"281","2015-03-12",1,6.14
"282","2015-03-12",2,3.36
"283","2015-03-12",3,1.18
"284","2015-03-12",4,6.71
"285","2015-03-13",1,6.77
"286","2015-03-13",2,3.07
"287","2015-03-13",3,4.17
"288","2015-03-13",4,5.02
"289","2015-03-14",1,3.79
"290","2015-03-14",2,1.08
"291","2015-03-14",3,3.09
"292","2015-03-14",4,4.01
"293","2015-03-15",1,3.75
"294","2015-03-15",2,3.69
"295","2015-03-15",3,0.46
"296","2015-03-15",4,2.22
"297","2015-03-16",1,4.85
"298","2015-03-16",2,4.9
"299","2015-03-16",3,3.37
"300","2015-03-16",4,4.17
"301","2015-03-17",1,4.13
"302","2015-03-17",2,3.48
"303","2015-03-17",3,4.19
"304","2015-03-17",4,3.44
"305","2015-03-18",1,2.98
"306","2015-03-18",2,2.38
"307","2015-03-18",3,3.76
"308","2015-03-18",4,1.39
"309","2015-03-19",1,4.05
"310","2015-03-19",2,2.21
"311","2015-03-19",3,2.96
"312","2015-03-19",4,2.42
"313","2015-03-20",1,4.87
"314","2015-03-20",2,7.38
"315","2015-03-20",3,6.9
"316","2015-03-20",4,2.88
"317","2015-03-21",1,6.17
"318","2015-03-21",2,6.25
"319","2015-03-21",3,4.95
"320","2015-03-21",4,6.19
"321","2015-03-22",1,3.65
"322","2015-03-22",2,3.97
"323","2015-03-22",3,3.93
"324","2015-03-22",4,2.13
"325","2015-03-23",1,2.63
"326","2015-03-23",2,7.44
"327","2015-03-23",3,6.86
"328","2015-03-23",4,2.5
"329","2015-03-24",1,4.28
"330","2015-03-24",2,2.97
"331","2015-03-24",3,2.21
"332","2015-03-24",4,2.95
"333","2015-03-25",1,1.6
"334","2015-03-25",2,3.18
"335","2015-03-25",3,1.98
"336","2015-03-25",4,2.79
"337","2015-03-26",1,3.84
"338","2015-03-26",2,3.33
"339","2015-03-26",3,3.49
"340","2015-03-26",4,3.27
"341","2015-03-27",1,4.91
"342","2015-03-27",2,3.75
"343","2015-03-27",3,3.52
"344","2015-03-27",4,4.37
"345","2015-03-28",1,5.92
"346","2015-03-28",2,7.35
"347","2015-03-28",3,4.6
"348","2015-03-28",4,7.48
"349","2015-03-29",1,8.96
"350","2015-03-29",2,6.71
"351","2015-03-29",3,4.18
"352","2015-03-29",4,8.75
"353","2015-03-30",1,6.03
"354","2015-03-30",2,3.84
"355","2015-03-30",3,2.47
"356","2015-03-30",4,5.56
"357","2015-03-31",1,10.31
"358","2015-03-31",2,7.66
"359","2015-03-31",3,4.75
"360","2015-03-31",4,9.56
"361","2015-04-01",1,4.47
"362","2015-04-01",2,4
"363","2015-04-01",3,2.25
"364","2015-04-01",4,4.34
"365","2015-04-02",1,6.86
"366","2015-04-02",2,4.67
"367","2015-04-02",3,2.05
"368","2015-04-02",4,8.31
"369","2015-04-03",1,6.5
"370","2015-04-03",2,7.28
"371","2015-04-03",3,3.66
