"","variable.rounded","freq","percentage"
"1",-13,1,0
"2",-10,5,0.1
"3",-9,6,0.1
"4",-8,13,0.2
"5",-7,21,0.3
"6",-6,50,0.8
"7",-5,122,2
"8",-4,275,4.5
"9",-3,530,8.7
"10",-2,1056,17.3
"11",-1,1431,23.4
"12",0,1283,21
"13",1,713,11.7
"14",2,374,6.1
"15",3,155,2.5
"16",4,51,0.8
"17",5,21,0.3
"18",6,10,0.2
"19",7,2,0
"20",8,1,0
