Date,tmean (degrees C)
1982-01,7.3
1982-02,10.5
1982-03,16
1982-04,17.3
1982-05,23.2
1982-06,26.1
1982-07,27.3
1982-08,27.2
1982-09,23.9
1982-10,19.6
1982-11,14.4
1982-12,12.8
1983-01,6.4
1983-02,9.2
1983-03,11.9
1983-04,15.3
1983-05,21.4
1983-06,24.3
1983-07,27.9
1983-08,28.1
1983-09,23.3
1983-10,19.2
1983-11,13.3
1983-12,7.3
1984-01,6.4
1984-02,10.4
1984-03,13.6
1984-04,17.4
1984-05,21.9
1984-06,25.9
1984-07,26.8
1984-08,26.2
1984-09,23.8
1984-10,22.2
1984-11,12.3
1984-12,14.2
1985-01,4.8
1985-02,9.4
1985-03,16.4
1985-04,18.8
1985-05,22.6
1985-06,26.5
1985-07,26.9
1985-08,27.1
1985-09,23.9
1985-10,21.2
1985-11,17.6
1985-12,6.9
1986-01,7.5
1986-02,12
1986-03,14.3
1986-04,17.9
1986-05,23
1986-06,27.4
1986-07,29
1986-08,27.2
1986-09,25.9
1986-10,19.6
1986-11,16.6
1986-12,8.9
1987-01,7.2
1987-02,9.7
1987-03,14.3
1987-04,16.6
1987-05,23.8
1987-06,25.9
1987-07,27.8
1987-08,28.7
1987-09,24.8
1987-10,16
1987-11,14.6
1987-12,11.6
1988-01,6.1
1988-02,8.5
1988-03,13.3
1988-04,17.9
1988-05,21.1
1988-06,25.9
1988-07,26.8
1988-08,27.9
1988-09,24.9
1988-10,16.7
1988-11,14.8
1988-12,9.3
1989-01,11.6
1989-02,10.1
1989-03,15.2
1989-04,17.1
1989-05,21.8
1989-06,25.6
1989-07,26.8
1989-08,27.1
1989-09,24.1
1989-10,18.3
1989-11,13.5
1989-12,5.1
1990-01,11
1990-02,13.4
1990-03,15.8
1990-04,17.3
1990-05,22.1
1990-06,26.6
1990-07,27.6
1990-08,28.6
1990-09,26
1990-10,19.7
1990-11,14.8
1990-12,11.9
1991-01,8.8
1991-02,11.5
1991-03,14.9
1991-04,19.8
1991-05,23.9
1991-06,25.6
1991-07,27.8
1991-08,27
1991-09,24.8
1991-10,19.3
1991-11,11.4
1991-12,11.1
1992-01,7.6
1992-02,11.8
1992-03,13.8
1992-04,17
1992-05,20.9
1992-06,24.7
1992-07,27.6
1992-08,25.8
1992-09,24.5
1992-10,17.8
1992-11,12.5
1992-12,9.5
1993-01,10.7
1993-02,9
1993-03,12
1993-04,15.8
1993-05,21.5
1993-06,26.6
1993-07,28.8
1993-08,27.7
1993-09,25.1
1993-10,18.6
1993-11,11.9
1993-12,8.4
1994-01,6.2
1994-02,11.5
1994-03,14.5
1994-04,19
1994-05,21.7
1994-06,26.3
1994-07,26.3
1994-08,26.3
1994-09,23.8
1994-10,18.8
1994-11,15.7
1994-12,11
1995-01,8.7
1995-02,10
1995-03,16
1995-04,18.1
1995-05,23.7
1995-06,25.1
1995-07,28.3
1995-08,28.5
1995-09,24.5
1995-10,18.9
1995-11,10.9
1995-12,7.9
1996-01,7.4
1996-02,9.7
1996-03,11.6
1996-04,16.4
1996-05,23.4
1996-06,25.4
1996-07,27.3
1996-08,26.5
1996-09,23.4
1996-10,18
1996-11,12.5
1996-12,10.1
1997-01,8.9
1997-02,11.1
1997-03,17.6
1997-04,15.9
1997-05,20.6
1997-06,24.1
1997-07,27.6
1997-08,26.5
1997-09,25
1997-10,18.5
1997-11,11.1
1997-12,8.2
1998-01,9.6
1998-02,10.3
1998-03,12.6
1998-04,17.3
1998-05,24.2
1998-06,27.6
1998-07,28.6
1998-08,27.7
1998-09,25.7
1998-10,20.2
1998-11,15.7
1998-12,12
1999-01,10.6
1999-02,11.9
1999-03,12.6
1999-04,19.8
1999-05,21.5
1999-06,25
1999-07,27.1
1999-08,28.5
1999-09,23.8
1999-10,18.1
1999-11,14.4
1999-12,9.1
2000-01,9.4
2000-02,11.7
2000-03,15.8
2000-04,16.2
2000-05,24.3
2000-06,26
2000-07,28.2
2000-08,27.9
2000-09,23.4
2000-10,18.9
2000-11,12.6
2000-12,5.2
2001-01,5.8
2001-02,12.6
2001-03,11.7
2001-04,18.5
2001-05,22.3
2001-06,24.8
2001-07,27
2001-08,26.2
2001-09,23
2001-10,16.9
2001-11,16
2001-12,11.2
2002-01,8.9
2002-02,8.5
2002-03,13.6
2002-04,19.9
2002-05,22.2
2002-06,25.5
2002-07,27.3
2002-08,26.7
2002-09,26
2002-10,21
2002-11,11.4
2002-12,8
2003-01,5.8
2003-02,9.9
2003-03,15.2
2003-04,17.7
2003-05,22.9
2003-06,25.2
2003-07,26.4
2003-08,26.8
2003-09,23.7
2003-10,18
2003-11,15.4
2003-12,7.2
2004-01,7.6
2004-02,8.1
2004-03,15.9
2004-04,16.6
2004-05,23.1
2004-06,25.4
2004-07,27.2
2004-08,25.7
2004-09,23.8
2004-10,20.9
2004-11,15.1
2004-12,8.2
2005-01,10.2
2005-02,11.6
2005-03,12.6
2005-04,16.8
2005-05,20.7
2005-06,25.5
2005-07,27.7
2005-08,27.6
2005-09,26.1
2005-10,18.5
2005-11,14.3
2005-12,7.2
2006-01,12
2006-02,9.1
2006-03,14.1
2006-04,20.2
2006-05,21.9
2006-06,26.3
2006-07,28.6
2006-08,28.8
2006-09,23.9
2006-10,17.8
2006-11,12.1
2006-12,10.6
2007-01,9.7
2007-02,8.1
2007-03,16.1
2007-04,16.3
2007-05,22.2
2007-06,27
2007-07,27.4
2007-08,30.3
2007-09,25.4
2007-10,20
2007-11,12.7
2007-12,11.4
2008-01,7
2008-02,10.4
2008-03,13.8
2008-04,18.1
2008-05,22.2
2008-06,26.9
2008-07,27.3
2008-08,26.7
2008-09,24.9
2008-10,17.6
2008-11,11.4
2008-12,11.2
2009-01,8.7
2009-02,9.5
2009-03,15.1
2009-04,17.2
2009-05,22.8
2009-06,27.1
2009-07,26.5
2009-08,26.7
2009-09,25.4
2009-10,18.9
2009-11,12.4
2009-12,8.3
2010-01,5.8
2010-02,5.9
2010-03,11.3
2010-04,18.3
2010-05,24.1
2010-06,28
2010-07,29.1
2010-08,29.4
2010-09,26.4
2010-10,18.9
