"","variable.rounded","freq","percentage"
"1",0,1970,32.2
"2",1,228,3.7
"3",2,156,2.5
"4",3,121,2
"5",4,108,1.8
"6",5,103,1.7
"7",6,95,1.6
"8",7,84,1.4
"9",8,68,1.1
"10",9,79,1.3
"11",10,83,1.4
"12",11,73,1.2
"13",12,67,1.1
"14",13,78,1.3
"15",14,65,1.1
"16",15,81,1.3
"17",16,70,1.1
"18",17,74,1.2
"19",18,73,1.2
"20",19,72,1.2
"21",20,74,1.2
"22",21,101,1.7
"23",22,106,1.7
"24",23,97,1.6
"25",24,93,1.5
"26",25,100,1.6
"27",26,107,1.7
"28",27,107,1.7
"29",28,155,2.5
"30",29,220,3.6
"31",30,265,4.3
"32",31,947,15.5
