"","variable.rounded","freq","percentage"
"1",0,1426,23.3
"2",1,929,15.2
"3",2,663,10.8
"4",3,605,9.9
"5",4,524,8.6
"6",5,423,6.9
"7",6,393,6.4
"8",7,301,4.9
"9",8,235,3.8
"10",9,220,3.6
"11",10,138,2.3
"12",11,101,1.7
"13",12,57,0.9
"14",13,42,0.7
"15",14,41,0.7
"16",15,11,0.2
"17",16,6,0.1
"18",17,5,0.1
